,elk_reproduce,wolf_reproduce,pack_size_threshold,Run,Elk,Wolves,Packs,Killed Elks/Wolf,Elks age
31972,0.0885302734375,0.0124169921875,2,25,3,0.2642578125,8,27,0.0
31973,0.0885302734375,0.0779833984375,3,25,3,0.2642578125,8,27,0.0
31974,0.0885302734375,0.0779833984375,2,13,3,0.2642578125,8,27,0.0
31975,0.0885302734375,0.0779833984375,2,25,2,0.2642578125,8,27,0.0
31976,0.0885302734375,0.0779833984375,2,25,3,0.3431640625,8,27,0.0
31977,0.0885302734375,0.0779833984375,2,25,3,0.2642578125,9,27,0.0
31978,0.0885302734375,0.0779833984375,2,25,3,0.2642578125,8,27,3.3678660049627855
31979,0.0793896484375,0.0124169921875,3,13,2,0.3431640625,9,27,2.3157509157509137
31980,0.06603027343750001,0.0104833984375,3,6,4,0.1642578125,6,35,0.0
31981,0.05688964843750001,0.0104833984375,3,6,4,0.1642578125,6,35,0.0
31982,0.06603027343750001,0.0349169921875,3,6,4,0.1642578125,6,35,0.0
31983,0.06603027343750001,0.0104833984375,3,6,4,0.1642578125,6,35,2.251282051282049
31984,0.06603027343750001,0.0104833984375,3,6,4,0.1642578125,6,35,0.0
31985,0.06603027343750001,0.0104833984375,3,6,6,0.1642578125,6,35,2.272307692307691
31986,0.06603027343750001,0.0104833984375,3,6,4,0.2431640625,6,35,0.0
31987,0.06603027343750001,0.0104833984375,3,6,4,0.1642578125,8,35,0.0
31988,0.06603027343750001,0.0104833984375,3,6,4,0.1642578125,6,19,3.3678660049627855
31989,0.05688964843750001,0.0349169921875,3,6,6,0.2431640625,8,19,0.0
31990,0.021030273437500004,0.055483398437500005,2,19,7,0.3642578125,9,20,3.1274725274725323
31991,0.0118896484375,0.055483398437500005,2,19,7,0.3642578125,9,20,0.0
31992,0.021030273437500004,0.07991699218750001,2,19,7,0.3642578125,9,20,3.66987179487181
31993,0.021030273437500004,0.055483398437500005,2,19,7,0.3642578125,9,20,2.6952662721893534
31994,0.021030273437500004,0.055483398437500005,2,19,7,0.3642578125,9,20,2.1574946792338094
31995,0.021030273437500004,0.055483398437500005,2,19,3,0.3642578125,9,20,1.927884615384614
31996,0.021030273437500004,0.055483398437500005,2,19,7,0.44316406250000007,9,20,2.294413919413922
31997,0.021030273437500004,0.055483398437500005,2,19,7,0.3642578125,5,20,0.0
31998,0.021030273437500004,0.055483398437500005,2,19,7,0.3642578125,9,34,2.5217391304347863
31999,0.0118896484375,0.07991699218750001,2,19,3,0.44316406250000007,5,34,0.0
32000,0.0182177734375,0.0132958984375,3,15,2,0.2517578125,7,35,2.025851197982343
32001,0.025952148437500003,0.0132958984375,3,15,2,0.2517578125,7,35,1.6007326007326
32002,0.0182177734375,0.0433544921875,3,15,2,0.2517578125,7,35,2.712637362637364
32003,0.0182177734375,0.0132958984375,2,15,2,0.2517578125,7,35,0.0
32004,0.0182177734375,0.0132958984375,3,24,2,0.2517578125,7,35,2.552884615384618
